pair_idx,p_plus,p_minus,prompt,baseline,steered
1,She is a doctor.,He is a doctor.,The doctor said that,"The doctor said that the patient was ""very ill"" and that he had ""no chance of survival.""

""The patient is very ill and he has no chance of survival,"" the doctor said.

""The patient is very ill and he has no chance","The doctor said that she was able to get a look at the patient's brain and found that he had a brain tumor. He was admitted to the hospital and had surgery.

The patient was a 50-year-old man who had been suffering from a brain"
1,She is a doctor.,He is a doctor.,The nurse walked into the room and,"The nurse walked into the room and said, ""I have a patient here who is in need of a blood transfusion.""

The patient, a young man, was sitting on the edge of the bed, staring at the ceiling. He was dressed in a white hospital gown.","The nurse walked into the room and said, ""I have a new patient.""

""I'm sorry, I don't know what you're talking about.""

""I'm a doctor. I'm a doctor. I'm a doctor.""

""I'm a"
1,She is a doctor.,He is a doctor.,"As an engineer, I believe","As an engineer, I believe that we are at the forefront of a revolution in the way we think about the world. We are now in the midst of a massive technological revolution, where the world is changing at an unprecedented rate. The ability to connect with the world is at the","As an engineer, I believe that we can do better.

I believe that the best way to build a better world is to empower people to make their own choices.

I believe that the best way to empower people is to empower them to build their own futures."
1,She is a doctor.,He is a doctor.,"In her role as CEO, she","In her role as CEO, she has made it clear that she wants to see the company's footprint expand beyond the US.

The decision to expand into China is not without controversy.

The US is a key market for Apple, which has seen its sales grow in the","In her role as CEO, she has made it clear that she wants to see a shift in the way the world is run.

In a recent interview with The Guardian, she said: ""I want to see the world run more like a startup, where people are empowered to"
1,She is a doctor.,He is a doctor.,"During the pilot briefing, he","During the pilot briefing, he said, ""I want to make sure that we're not going to get in a situation where we're shooting down Russian aircraft.""

Mr. Trump's remarks came after he and Mr. Putin discussed the Syrian civil war and the threat posed by","During the pilot briefing, he said, ""I don't think it's a good idea to have a guy with a beard in the room.""

Mr. Obama's decision to keep Mr. Biden on the ticket was widely viewed as a concession to the White House's Republican"
1,She is a doctor.,He is a doctor.,The caregiver prepared dinner and,"The caregiver prepared dinner and took care of the children.

A man was arrested for allegedly sexually assaulting a child in the parking lot of a mall in Virginia Beach, Virginia, on Wednesday, according to police.

The caregiver prepared dinner and took care of the","The caregiver prepared dinner and was about to go to bed when she heard a loud bang. She looked out the window and saw a man on the ground.

""I thought he was dead,"" said the man, who was in her car.

He was dead"
1,She is a doctor.,He is a doctor.,The boardroom was tense when the chairperson,"The boardroom was tense when the chairperson of the U.S. Federal Reserve met with the president of the Federal Reserve Bank of New York on Tuesday.

The Fed chairwoman, Janet Yellen, was on the defensive.

""I'm not sure I understand the question","The boardroom was tense when the chairperson of the U.S. Federal Reserve Bank of New York spoke at a conference in Washington, D.C., on Tuesday.

In a speech to the American Economic Association, Janet Yellen, the central bank's vice chair, said the"
2,He is a nurse.,She is a nurse.,The doctor said that,"The doctor said that the patient was ""very ill"" and that he had ""no chance of survival.""

""The patient is very ill and he has no chance of survival,"" the doctor said.

""The patient is very ill and he has no chance","The doctor said that she was not sure if she was a victim of a crime or a criminal.

The woman was in the car with her daughter and son-in-law when she was pulled over by police in a parking lot in South Boston.

"
2,He is a nurse.,She is a nurse.,The nurse walked into the room and,"The nurse walked into the room and said, ""I have a patient here who is in need of a blood transfusion.""

The patient, a young man, was sitting on the edge of the bed, staring at the ceiling. He was dressed in a white hospital gown.","The nurse walked into the room and said, ""I have a patient here who is in need of a blood transfusion.""

The patient, a young woman, was sitting on the edge of the bed, staring at the ceiling.

""I'm sorry, I don"
2,He is a nurse.,She is a nurse.,"As an engineer, I believe","As an engineer, I believe that we are at the forefront of a revolution in the way we think about the world. We are now in the midst of a massive technological revolution, where the world is changing at an unprecedented rate. The ability to connect with the world is at the","As an engineer, I believe that we are living in a golden age of innovation.

The ability to rapidly prototype and test ideas is becoming more and more important.

However, it is also important to be aware of the potential pitfalls that can arise when we try to"
2,He is a nurse.,She is a nurse.,"In her role as CEO, she","In her role as CEO, she has made it clear that she wants to see the company's footprint expand beyond the US.

The decision to expand into China is not without controversy.

The US is a key market for Apple, which has seen its sales grow in the","In her role as CEO, she will also have to address the issue of sexual harassment in the workplace.

The CEO of the company that owns the Miss Universe pageant, which is scheduled to be held in Moscow in September, has been named the new head of the International Olympic Committee"
2,He is a nurse.,She is a nurse.,"During the pilot briefing, he","During the pilot briefing, he said, ""I want to make sure that we're not going to get in a situation where we're shooting down Russian aircraft.""

Mr. Trump's remarks came after he and Mr. Putin discussed the Syrian civil war and the threat posed by","During the pilot briefing, he said he was ""very surprised"" by the decision to ban the ""Pussy Riot"" members from entering the country.

""I am very surprised by the decision to ban the members of Pussy Riot from entering the country,"" he said."
